what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017204050
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1316017204103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017208342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017208741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017208796
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1316017212069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017212094
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017212117
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316017218737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017224017
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1316017234667
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1316017234799
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1316017234805
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1316017235141
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1316017235168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017237115
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1316017253913
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1316017254034
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316017270550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017270576
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316017271963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017280999
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1316017311790
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1316017311834
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316017320224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017320238
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017327991
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316017354994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017362006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017450400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017463608
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1316017464171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017464190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017472096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017523451
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017526430
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017526540
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316017526561
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316017528230
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1316017533176
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316017539430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017539556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017544561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316017551153
